epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,68.7248,1.60683,3.97938,0.98598,0.90179,0.96318,0.9925,0.55979,2.29485,4.60016,1.1993,0.00068716,0.00068716,0.00068716
81,69.6749,1.57278,4.0526,1.00476,0.89785,0.95199,0.98857,0.5804,2.31879,4.6484,1.23252,0.0006832,0.0006832,0.0006832
82,70.4616,1.86594,3.90675,0.98845,0.89785,0.95199,0.98857,0.5804,2.31879,4.6484,1.23252,0.00067924,0.00067924,0.00067924
83,71.2383,1.49433,3.75423,0.94743,0.87745,0.90409,0.96946,0.62818,2.17262,4.53348,1.2054,0.00067528,0.00067528,0.00067528
84,72.0065,1.75522,3.69442,0.99266,0.87745,0.90409,0.96946,0.62818,2.17262,4.53348,1.2054,0.00067132,0.00067132,0.00067132
85,72.8456,1.61416,3.94678,0.97259,0.88816,0.8854,0.96867,0.63755,2.00687,4.42644,1.17996,0.00066736,0.00066736,0.00066736
86,73.6363,1.5142,4.17758,0.984,0.88816,0.8854,0.96867,0.63755,2.00687,4.42644,1.17996,0.0006634,0.0006634,0.0006634
87,74.5379,1.61409,3.81254,0.9585,0.93129,0.9657,0.96837,0.65463,1.87759,4.04549,1.14644,0.00065944,0.00065944,0.00065944
88,75.3256,1.54018,3.55067,0.95152,0.93129,0.9657,0.96837,0.65463,1.87759,4.04549,1.14644,0.00065548,0.00065548,0.00065548
89,76.0494,1.66583,3.73567,0.99319,0.96269,0.9681,0.97531,0.66493,1.86429,4.05285,1.13528,0.00065152,0.00065152,0.00065152
90,76.5969,1.49825,3.44513,0.95352,0.96269,0.9681,0.97531,0.66493,1.86429,4.05285,1.13528,0.00064756,0.00064756,0.00064756
91,77.1564,1.61869,3.60252,0.99278,0.96239,0.9697,0.975,0.61346,1.92999,4.13506,1.12665,0.0006436,0.0006436,0.0006436
92,77.6894,1.56411,3.72787,0.97997,0.96239,0.9697,0.975,0.61346,1.92999,4.13506,1.12665,0.00063964,0.00063964,0.00063964
93,78.2437,1.5593,3.62442,0.95987,0.9472,0.9697,0.97565,0.60691,2.04008,4.15516,1.13858,0.00063568,0.00063568,0.00063568
94,78.8871,1.57024,3.57506,0.9902,0.9472,0.9697,0.97565,0.60691,2.04008,4.15516,1.13858,0.00063172,0.00063172,0.00063172
95,79.452,1.45681,3.30266,0.94351,0.9466,0.9697,0.98,0.58959,2.11117,4.17791,1.14619,0.00062776,0.00062776,0.00062776
96,79.9894,1.48728,3.33044,0.9547,0.9466,0.9697,0.98,0.58959,2.11117,4.17791,1.14619,0.0006238,0.0006238,0.0006238
97,80.5543,1.52269,3.36282,0.95878,0.95607,0.9697,0.98441,0.58348,2.11921,4.10928,1.14873,0.00061984,0.00061984,0.00061984
98,81.0903,1.66914,3.57968,0.98619,0.95607,0.9697,0.98441,0.58348,2.11921,4.10928,1.14873,0.00061588,0.00061588,0.00061588
99,81.6326,1.68608,3.81766,1.06321,0.95863,0.9697,0.98563,0.60709,1.97426,3.84415,1.11037,0.00061192,0.00061192,0.00061192
100,82.1532,1.42996,3.48101,0.95146,0.95863,0.9697,0.98563,0.60709,1.97426,3.84415,1.11037,0.00060796,0.00060796,0.00060796
101,82.8037,1.46686,3.62744,0.98483,0.95053,0.9697,0.98563,0.6221,1.94489,3.77158,1.13036,0.000604,0.000604,0.000604
102,83.3447,1.55466,3.46811,0.96932,0.95053,0.9697,0.98563,0.6221,1.94489,3.77158,1.13036,0.00060004,0.00060004,0.00060004
103,83.894,1.59709,3.35825,0.99428,0.96105,0.9697,0.99038,0.61872,2.01857,3.66784,1.15787,0.00059608,0.00059608,0.00059608
104,84.4476,1.52468,3.23678,0.93905,0.96105,0.9697,0.99038,0.61872,2.01857,3.66784,1.15787,0.00059212,0.00059212,0.00059212
105,85.0495,1.46984,4.14258,0.96205,0.97647,0.96594,0.98857,0.63105,1.9581,3.55978,1.14999,0.00058816,0.00058816,0.00058816
106,85.8425,1.58308,3.3509,0.97976,0.97647,0.96594,0.98857,0.63105,1.9581,3.55978,1.14999,0.0005842,0.0005842,0.0005842
107,86.7088,1.35613,3.29319,0.94247,0.97369,0.96362,0.98857,0.61926,2.01734,3.52759,1.18455,0.00058024,0.00058024,0.00058024
108,87.5466,1.39115,3.32235,0.95112,0.97369,0.96362,0.98857,0.61926,2.01734,3.52759,1.18455,0.00057628,0.00057628,0.00057628
109,88.4082,1.49387,3.23953,0.92801,0.97774,0.9697,0.987,0.63094,1.98521,3.43829,1.19906,0.00057232,0.00057232,0.00057232
110,89.1945,1.46317,4.01128,0.96728,0.97774,0.9697,0.987,0.63094,1.98521,3.43829,1.19906,0.00056836,0.00056836,0.00056836
111,90.0301,1.51484,3.52727,0.95838,0.97544,0.96432,0.96893,0.63246,1.88468,3.35166,1.19537,0.0005644,0.0005644,0.0005644
112,90.8101,1.49007,3.49219,0.97219,0.97544,0.96432,0.96893,0.63246,1.88468,3.35166,1.19537,0.00056044,0.00056044,0.00056044
